Model Number,Manufacturer,Primary Type,Grade,Temp Prio,Humidity Prio,Pressure Prio,CO2 Prio,VOC Prio,PM Prio,Light Prio,Power Prio,UV Prio,Noise Prio,Gas Prio,Maint Score,Calibration,Stability,Accuracy,Recommended For,Notes,Price (USD),Technology,Interface,Accuracy Detail,Stability Detail,Calibration Detail,Integration Complexity,Calibration Period,Mfr Calibration Spec,Arduino Library
TMP117,Texas Instruments,Temperature,Premium,1,,,,,,,,,,,Excellent (1),*****,*****,*****,Temperature,Best Temperature Sensor. Medical grade stability.,$14 - $23 (Module),Digital CMOS Temperature Sensor,I²C,±0.1 °C Max (-20 to 50 °C),Medical Grade (ASTM E1112/ISO),None (Factory Lifetime); No Calibration required,Low (High Address Flexibility),0h (immediate),Factory calibrated,
SHT45,Sensirion,T/H,Premium,2,1,,,,,,,,,,Excellent (1),*****,*****,*****,"Temperature, Humidity",Best Integrated Humidity Sensor. Note: Has a fixed I²C address (0x44).,$5 - $15,Capacitive/CMOSens (4th Gen),I²C,"T: ±0.2°C, H: ±1.8% RH",Excellent Long-Term Stability (Highest SHT-family grade),None (Factory Lifetime),Low,0h (immediate),Factory calibrated,SensirionI2cSht4x
SHT41,Sensirion,T/H,Enhanced,3,2,,,,,,,,,,Excellent (1),*****,*****,****,"Temperature, Humidity",Second Best Integrated T/H Sensor. Note: Has a fixed I²C address (0x44).,$4 - $12,Capacitive/CMOSens (4th Gen),I²C,"T: ±0.3°C, H: ±3% RH (Enhanced Grade)",Enhanced Grade (Very Good Stability),None (Factory Lifetime),Low,0h (immediate),Factory calibrated,SensirionI2cSht4x
SHT40,Sensirion,T/H,Standard,4,3,,,,,,,,,,Excellent (1),*****,****,***,"Temperature (backup), Humidity (backup)",Low-cost entry to the SHT4x family. Note: Has a fixed I²C address (0x44).,$3 - $8,Capacitive/CMOSens (4th Gen),I²C,"T: ±0.3°C, H: ±6% RH (Standard Grade)",Standard Grade (Relies on SHT4x family stability),None (Factory Lifetime),Low,0h (immediate),Factory calibrated,SensirionI2cSht4x
SHT31-D,Sensirion,T/H,Standard,5,4,,,,,,,,,,Excellent (1),*****,****,****,"Temperature (backup), Humidity (backup)",Highly stable legacy option. Note: Has a selectable I²C address (0x44 or 0x45).,$1.25 - $5,Capacitive/CMOSens,I²C,"T: ±0.3°C, H: ±2% RH",High Stability; Industry Standard Low Drift,None (Factory Lifetime),Low,0h (immediate),Factory calibrated,
SCD30,Sensirion,CO2,High Stability,6,5,,1,,,,,,,Excellent (1.5),*****,*****,****,"CO2, Temperature",Best Affordable CO2 Sensor. Has highly accurate (5-star) temp sensor inside. Note: Has fixed I²C address.,$50 - $80,Dual Channel NDIR (Hardware Comp.),I²C,High (±(30 ppm + 3% reading)),Superior Stability by Dual-Channel Compensation (Code Compliant),Forced Recalibration (FRC) recommended **once** on installation,Low,168h (7 days) if ASC enabled,ASC 7-day cycle; requires 1h fresh air exposure daily,SparkFun_SCD30_Arduino_Library
SCD40,Sensirion,CO2,High Stability,,,,2,,,,,,,Very Good (1.5),****,****,****,CO2,"Best value for high-stability true CO2 reading. Range 400-2,000 ppm. Note: FRC recommended once on install.",$27 - $32,Photoacoustic Sensing (PAS),I²C,High (±40 ppm + 5% reading),High Stability; Inherently resistant to optical drift,FRC recommended **once** on installation (PAS stability),Low,168h (7 days) if ASC enabled,ASC 7-day cycle; requires 1h fresh air exposure daily,SparkFun_SCD4x_Arduino_Library
SCD41,Sensirion,CO2,High Stability,,,,2,,,,,,,Very Good (1.5),****,****,****,CO2,"Enhanced range 400-5,000 ppm (suitable for high pollution/industrial). Note: FRC recommended once on install.",$30 - $35,Photoacoustic Sensing (PAS),I²C,High (±40 ppm + 5% reading),High Stability; Inherently resistant to optical drift,FRC recommended **once** on installation (PAS stability),Low,168h (7 days) if ASC enabled,ASC 7-day cycle; requires 1h fresh air exposure daily,SparkFun_SCD4x_Arduino_Library
BMP390,Bosch,Pressure,Premium,,,1,,,,,,,,,Excellent (1),***,****,*****,Pressure,Best pressure sensor. Requires host software to apply one-time offset (using local online pressure/altitude) to correct for solder stress.,~$10.95,MEMS Piezoresistive,I²C/SPI,±0.03 hPa Relative (equiv. ±25 cm),±0.16 hPa / 12 mo; Best-in-class low noise (0.02 Pa),Post-assembly offset calibration recommended to mitigate solder drift of <±0.8 hPa,High (Requires Solder Drift Mitigation),0h (immediate),One-time offset,Adafruit_BMP3XX
MS5611,TE Connectivity,Pressure,Premium,,,2,,,,,,,,,Very Good (2),*****,****,****,Pressure (Altitude),Best Pressure Sensor for altitude. Truly set-and-forget calibration.,~$15 - $25,Piezoresistive,I²C/SPI,High Resolution Altimeter,Excellent long term stability; widely used industrial standard,None (Factory Calibrated); Digital output,Low,0h (immediate),Factory calibrated,
BME280,Bosch,T/H/P,Standard,7,6,3,,,,,,,,Excellent (1),*****,***,***,"Pressure (backup), Temperature (backup), Humidity (backup)",Highly stable T/H/P core. Note: Has selectable I²C address (0x76 or 0x77).,$2 - $4,MEMS/T/H/P,I²C,"H: ±3% r.H., P: High accuracy",High Stability; Digital Compensation,None (Factory Lifetime),Low,0h (immediate),Factory calibrated,Adafruit_BME280
BMP280,Bosch,Pressure,Budget,,,4,,,,,,,,Good (2),***,***,***,Pressure (budget backup),Low-cost pressure. Requires host software to apply one-time offset to correct for solder stress.,$1.50 - $3,MEMS Piezoresistive,I²C/SPI,Relative accuracy high; Absolute accuracy low,Moderate Long-Term Stability (High solder drift risk),Post-assembly offset calibration recommended to mitigate solder drift,High (Requires Solder Drift Mitigation),0h (immediate),One-time offset,Adafruit_BMP280
SGP41,Sensirion,VOC/NOx,Enhanced,,,,,1,,,,,,High (4),*****,**,**,"VOC, NOx",Useful for relative measurements only. Includes NOx Index. Best long-term baseline via proprietary algorithm.,$20 - $25 (Estimate),MOx (CMOSens),I²C,VOC/NOx Index (Dimensionless/Relative),Robustness managed by proprietary VOC/NOx Algorithm,None (Relies on complex algorithmic compensation),Medium (Requires Algorithmic Compensation),12h,10s warmup + algorithm conditioning period,SensirionI2CSgp41
SGP40,Sensirion,VOC,Standard,,,,,2,,,,,,High (4),*****,**,**,VOC,Useful for relative measurements only. Best long-term baseline stability via proprietary VOC Algorithm.,$15 - $20 (Estimate),MOx (CMOSens),I²C,VOC Index (Dimensionless/Relative),Robustness managed by proprietary VOC Algorithm,None (Relies on complex algorithmic compensation),Medium (Requires Algorithmic Compensation),12h,10s warmup + algorithm conditioning,SensirionI2CSgp40
BME688,Bosch,VOC,Standard,9,8,5,,3,,,,,,High (4),*****,**,**,VOC (AI enhanced),Useful for relative measurements only. Has good T/H/P core and uses AI (BSEC library) for gas indexing.,$15 - $25 (Breakout),MOx + MEMS (AI Enhanced),I²C,IAQ Index (Dimensionless) / ppb detection,Stability managed by proprietary BSEC software/AI model,Relies on complex proprietary software (BSEC) for index calculation,Medium (Requires BSEC Library),48h (2 days),BSEC: 48h gas sensor burn-in,Adafruit_BME680
BME680,Bosch,VOC,Legacy,10,9,6,,4,,,,,,Medium (3.5),*****,**,**,VOC (legacy),Useful for relative measurements only. Legacy version of BME688. T/H/P sensors are low priority.,$10 - $18 (Breakout),MOx + MEMS,I²C,IAQ Index (Dimensionless) / ppb detection,Similar to BME688; Stability managed by proprietary BSEC software,Relies on complex proprietary software (BSEC) for index calculation,Medium (Requires BSEC Library),48h (2 days),BSEC: 48h gas sensor burn-in,Adafruit_BME680
SPS30,Sensirion,PM,High Stability,,,,,,1,,,,,Excellent (1),*****,*****,****,"PM2.5, PM10",Best Particulate Matter Sensor. Note: Requires external pull-ups on I²C/UART lines.,$30 - $36,Laser Scattering (Contam. Resistant),I²C/UART,Mass Conc. precision ±10%; MCERTS Certified,Lifetime >10 years; Very low intra-model variability (~1.3%),None (Factory Calibrated); Built-in contamination resistance,Low,0h (immediate),Factory calibrated,
PMS5003,Plantower,PM,Budget,,,,,,2,,,,,Low (4.5),*,**,**,PM2.5 (budget),Budget PM sensor. Prone to drift/fouling; long-term accuracy requires periodic cleaning and software compensation.,$9 - $17,Laser Scattering (Optical),UART/PWM,Varies; Low RMSE (1.47 µg/m³) post-calib,Prone to drift due to optical fouling; Lifespan limited by internal fan,Requires non-linear software pre-calibration advised; Periodic cleaning likely required,High (UART/PWM interface; host software compensation required),1h,Fan/laser warmup,Custom (built-in)
SDS011,Nova,PM,Budget,,,,,,3,,,,,Low (4.5),*,**,**,PM2.5 (budget backup),Budget PM sensor. Prone to drift/fouling; long-term accuracy requires periodic cleaning and software compensation.,$19 - $25,Laser Scattering (Optical),UART/PWM,Consistent; Requires ongoing software compensation,Prone to drift due to optical fouling; Lifespan limited by internal fan,Periodic cleaning likely required; Non-linear software pre-calibration advised,High (UART/PWM interface; host software compensation required),1h,Fan/laser warmup,
INA226,Texas Instruments,Power,Enhanced,,,,,,,,1,,,Excellent (1),*****,*****,****,Power,Best Power Monitor. Note: I²C address is configurable via pins (4-bit address space).,$2 - $7 (Module),Current Shunt Monitor (16-bit),I²C,High-resolution 16-bit ADC,"Extremely stable, offering higher precision than INA219",None (Factory Calibrated),Low (Simple Register Read),0h (immediate),Factory calibrated,Adafruit_INA226
INA219,Texas Instruments,Power,Standard,,,,,,,,2,,,Excellent (1),*****,*****,**,Power (standard),"Very simple, low-cost current monitor. Note: I²C address is configurable via pins.",$1 - $5 (Module),Current Shunt Monitor,I²C,Current/Voltage/Power Measurement,Extremely stable (Non-sensor),None (Factory Calibrated),Low (Simple Register Read),0h (immediate),Factory calibrated,Adafruit_INA219
ACS712,Allegro,Power,Budget,,,,,,,,3,,,Medium (3.5),**,*,*,Power (high-current only),Analog output requires host ADC and careful offset compensation. Very susceptible to noise.,$1 - $5 (Module),Hall-Effect Sensor,Analog,Total error 1.5% at 25°C; Noise susceptible,Offset drift with temperature is a known issue,Requires host ADC and careful offset compensation,"Very High (Analog output, Requires host ADC and isolation management)",N/A,Requires calibration,
VEML7700,Vishay,Light,Standard,,,,,,,2,,,,High (4),*****,**,**,Light (backup),High-resolution ambient light sensor (up to 167 klx). Note: Erratic above 70 klx. TSL2591 is preferred for light pollution monitoring.,Standard,Photodiode with Filtering,I²C,16-bit resolution,Erratic or Poor Correlation above 70 klx,None (Factory Calibrated); Failure mode at >70 klx must be managed,Low,0h (immediate),Factory calibrated,Adafruit_VEML7700
CHT832X,Aosong,T/H,Budget,11,10,,,,,,,,,Good (2.5),*****,***,***,T/H (budget backup),Decent budget T/H with fully compensated output.,$1 - $3,Capacitive/CMOS,I²C,"T: ±0.3°C, H: ±2% RH",Good Stability (similar to AHT20/SHT3x); Lower MTBF than SHT series,None (Factory Calibrated),Low,0h (immediate),Factory calibrated,
Si7021,Silicon Labs,T/H,Legacy,12,11,,,,,,,,,Good (2.5),*****,***,***,T/H (legacy backup),Legacy standard T/H. Low cost. Superseded by SHT4x.,$1 - $4,CMOS IC w/ Polymeric Dielectric,I²C,"T: ±0.4°C, H: ±3% RH",Good stability but superseded by SHT4x for high-end applications,None (Factory Calibrated),Low,0h (immediate),Factory calibrated,
AHT20,Aosong,T/H,Budget,13,12,,,,,,,,,Low (4.5),*****,**,***,,Good short-term accuracy but poor long-term confidence. Use only as last resort backup.,$1 - $3,Capacitive/CMOS,I²C,"T: ±0.3°C, H: ±2% RH",Moderate Drift; No long-term data for high confidence,None (Factory Calibrated); Lower MTBF than SHT series,Low,0h (immediate),Factory calibrated,Adafruit_AHTX0
DHT22 / AM2302,N/A,T/H,Legacy Risk,99,99,,,,,,,,,Poor (5),**,*,*,,"NOT RECOMMENDED. Known for poor accuracy, stability, and proprietary 1-Wire protocol.",$1 - $3,Capacitive/Thermistor,Proprietary 1-Wire,"T: ±0.5°C, H: ±2-5% RH (High RMSE in field)",Known for poor long-term stability and high drift,Requires proprietary library/timing,Very High (Requires proprietary library/timing),N/A,N/A,
MCP9808,Microchip,Temperature,Legacy Risk,99,,,,,,,,,,Low (4),**,*,***,,NOT RECOMMENDED. Requires Field Calibration/offset for absolute accuracy due to high drift risk.,$low,Digital Temperature Sensor,I²C,±0.25 °C Typical,Requires Field Calibration (High Drift Risk),Field calibration required for absolute accuracy; High risk of drift/deviation,Low,N/A,Requires field calibration,
K30,Senseair,CO2,Risk,,,,4,,,,,,Medium (3),**,**,**,CO2 (conditional),Relies heavily on ABC. NOT recommended for 24/7 indoor spaces where clean air is never guaranteed.,$75 - $100,Single Channel NDIR (ABC reliant),UART,Moderate (Bias ~10% observed in field),Stable only if periodic baseline exposure can be assured,Relies on ABC Logic (High risk in 24/7 spaces) or Annual Zero Calibration,High (UART/Analog interface),N/A,ABC or Annual Zero,
MH-Z19B,Winsen,CO2,Budget,,,,5,,,,,,Low (5),**,*,**,,NOT recommended for 24/7 indoor spaces where clean air is never guaranteed (due to ABC reliance).,$28 - $35,Single Channel NDIR (ABC reliant),UART/PWM,Budget (±(50 ppm + 5% readings)),Prone to significant drift if ABC fails in 24/7 indoor environments,Relies on ABC Logic or Manual Calibration (High Risk of drift),High (UART/PWM interface),N/A,ABC or Manual,
CM1106-C,Winsen,CO2,Budget,,,,5,,,,,,Low (5),**,*,*,,NOT recommended for 24/7 indoor spaces where clean air is never guaranteed (due to ABC reliance).,$25 - $40,Single Channel NDIR (ABC reliant),UART/I²C/PWM,Budget (High field variability),Prone to significant drift if ABC fails in 24/7 indoor environments,Relies on ABC Logic or Manual Calibration (High Risk of drift),High (Complex Interface Integration),360h (15 days) if ABC enabled,ABC period configurable 1-30 days (default 7-15 days per Winsen),cm1106_i2c
VEML6075,Vishay,UV,Standard,,,,,,,,,2,,High (4),**,**,**,UV (backup),Susceptible to degradation under extended direct sunlight (solarization). Requires field calibration. Use LTR-390UV instead if possible.,$5 - $29 (Module),Optoelectronic,I²C,16-bit resolution,Susceptible to physical degradation (solarization) under extended direct sunlight,Field calibration suggested; Component replacement needed (Susceptible to solar degradation),Low,N/A,Field calibration suggested,
Si1145,Silicon Labs,UV,Budget,,,,,,,,,3,,Medium (3.5),*****,*,*,UV (estimation only),Calculates UV Index (approximation) from light sensors; not a direct measurement.,$8 - $20 (Module),Ambient Light/IR Estimation,I²C,UV Index calculated from Vis/IR sensors (approximation),Poor long-term stability due to relying on estimation algorithm,None (Calculated Index),Low,0h (immediate),Factory calibrated,
ML8511,Rohm,UV,Legacy,,,,,,,,,4,,Low (4),**,**,**,,Analog output requires host ADC and complex calculation. Susceptible to solarization (degradation). Not recommended.,$5 - $15 (Module),Photodiode UV-A/UV-B,Analog,Outputs analog voltage proportional to UV intensity (raw mV),Susceptible to component aging and degradation,Requires careful field calibration and reference,"Very High (Analog output, Requires host ADC and complex calculation)",N/A,Requires field calibration,
SPH0645LM4H-B,Knowles,Noise,Specialized,,,,,,,,,,1,Very High (5),*****,***,***,Noise (raw audio),"Outputs raw I²S audio stream, requires host DSP/MCU to calculate dB.",$2 - $5,Digital MEMS Microphone,I²S (Digital Audio),Raw digital audio stream (no dB output),Component itself is stable; system stability depends on host DSP,Requires host MCU to perform complex PDM/I²S to dB conversion and A-weighting,Very High (Requires complex DSP/Host Processing),N/A,N/A,
I2C Decibel Meter Module,N/A,Noise,Specialized,,,,,,,,,,2,Very High (5),*,**,*,Noise (with caveats),Requires complex DSP on host to provide absolute dB SPL reading. High chance of in-field inaccuracy.,$30 - $50,MEMS + DSP (Digital),I²C,±1-2 dB SPL (A-weighted),Factory calibrated; Stability relies on complex DSP processing,Absolute SPL measurement requires specialized metrology (Impractical for users),Medium (DSP Processing),N/A,Factory calibrated,
MS5837,TE Connectivity,Pressure,Specialized,,,5,,,,,,,,Excellent (1.5),*****,****,****,Pressure (Depth/Submersible),Best Pressure Sensor for depth measurements. Truly set-and-forget calibration.,~$25 - $40,Piezoresistive,I²C,0.2 mbar resolution; 2 mm water depth resolution,Excellent long term stability; designed for hermetic sealing,None (Factory Calibrated); Highly stable digital output,Low (Specialized use case),0h (immediate),Factory calibrated,
BMP388,Bosch,Pressure,Legacy,,,7,,,,,,,Good (3.5),***,**,****,,Legacy pressure sensor. Less stable than BMP390 and requires host correction for drift/offset.,~$4 - $15 (Module),MEMS Piezoresistive,I²C/SPI,±0.03 hPa Relative (equiv. ±25 cm),Prone to altitude drift over long periods; Superior stability of BMP390 is key differentiator,Post-assembly offset calibration recommended; Prone to drift requiring host correction over time,Medium (Requires IIR filter management),0h (immediate),One-time offset,
BMP180,Bosch,Pressure,Legacy Risk,,,8,,,,,,,Low (4.5),***,**,**,,Legacy pressure sensor. Known for temperature-related drift issues. Not recommended.,$1 - $2,MEMS Piezoresistive,I²C,Absolute accuracy low (±1 hPa),Known for temperature-related drift issues,Post-assembly offset calibration recommended,Medium,0h (immediate),One-time offset,
GMT/GMP,Vaisala,CO2,Reference,,,,Ref,,,,,,Highest Accuracy (5),*****,*****,*****,CO2 (Reference),Best CO2 Sensor. Reference standard - impractical for consumer use.,"$600 - $1,500",Dual Wavelength NDIR,Industrial/N/A,Very High (±3 ppm + 1%),Very Low Drift; NIST Traceable Accuracy,Factory Certification (5-year interval recommended),Very High (Industrial/Specialized),N/A,Factory certified,
BAM 1020,Met One,PM,Reference,,,,,,Ref,,,,Impractical (5),*****,*****,*****,PM (Reference),Reference standard. Impractical for mass deployment.,"$20,000 - $35,000+",Beta Ray Attenuation,Industrial/N/A,EPA/FRM Equivalent Method,Extremely stable; Used as regulatory reference standard,"Regular flow calibration, filter replacement, detailed field audits",Very High (Industrial/Specialized),N/A,Factory certified,
Gravity Series,DFRobot,Gas,Specialized,,,,,,,,,,,Medium (3),*,***,***,"NO2, CO, O3 (specialized)",Requires probe replacement after ~2-year lifespan (consumable).,$50 - $153 (Per probe),Electrochemical principle,I²C/UART,Quantitative (PPM); ±10% F.S.,Long lifespan (>2 years); High anti-interference ability,Factory Calibrated (Replacement needed after ~2 year probe lifespan),Medium (Electrochemical Calibration),N/A,Factory calibrated,
N/A (HCHO),Specialized Modules,Gas,Specialized,,,,,,,,,,,Medium (3),*,***,****,HCHO (specialized),Requires probe replacement after ~2-year lifespan (consumable).,Up to $599.00,Electrochemical,Analog/I²C (Module Dependent),Regulatory Traceability,Dependent on Electrochemical Cell Life,Factory Calibrated; Requires probe replacement after typical 2-year lifespan,"High (Analog Front End, Calibration)",N/A,Factory calibrated,
N/A (SO2),Electrochemical,Gas,Specialized,,,,,,,,,,,Medium (3),*,***,****,SO2 (specialized),Requires probe replacement after ~2-year lifespan. Periodic Zero/Span calibration suggested.,$50 - $370 (Module dependent),Electrochemical,I²C/Analog/UART (Module Dependent),0-20 ppm Range,Dependent on Electrochemical Cell Life (Typically >2 years),Factory Calibrated; Periodic Zero/Span calibration suggested for compliance,High (Specific Circuitry Required),N/A,Factory calibrated,
SEN54,Sensirion,Multi (No CO2),High Stability,8,7,,,2,2,,,,,Very Good (2),****,****,****,"PM, VOC, NOx, Temperature (backup), Humidity (backup)",All-in-one environmental node: PM1/2.5/4/10 + VOC + NOx + T/H. No CO2. Standard T/H accuracy. Great for simplified builds.,$45 - $55,Laser Scattering + MOx + Capacitive,I²C,"PM: ±10%, VOC/NOx: Index, T: ±0.45°C, H: ±4.5%RH",Long lifetime; Contamination resistant PM,None (Factory Calibrated),Low,0h (immediate),Factory calibrated,sensirion/embedded-sps
SEN55,Sensirion,Multi (No CO2),Premium,4,3,,,2,2,,,,,Very Good (1.5),****,****,****,"PM, VOC, NOx, Temperature, Humidity","All-in-one environmental node: PM1/2.5/4/10 + VOC + NOx + T/H. No CO2. Premium T/H accuracy (±0.2°C, ±1.5%RH). Best multi-sensor without CO2.",$50 - $65,Laser Scattering + MOx + Capacitive,I²C,"PM: ±10%, VOC/NOx: Index, T: ±0.2°C, H: ±1.5%RH",Long lifetime; Contamination resistant PM; Premium T/H,None (Factory Calibrated),Low,0h (immediate),Factory calibrated,sensirion/embedded-sps
SEN66,Sensirion,Multi (With CO2),High Stability,8,7,,3,2,2,,,,,Very Good (2),****,****,****,"PM, VOC, NOx, CO2 (backup), Temperature (backup), Humidity (backup)",All-in-one with CO2: PM1/2.5/4/10 + VOC + NOx + CO2 (SCD4x-based PAS) + T/H. Standard T/H accuracy. Great for simplified builds needing CO2.,$70 - $85,Laser Scattering + MOx + PAS + Capacitive,I²C,"PM: ±10%, CO2: ±40ppm+5%, VOC/NOx: Index, T: ±0.45°C, H: ±4.5%RH",Long lifetime; CO2 uses PAS technology,FRC recommended once on installation,Low,168h if ASC enabled,ASC 7-day cycle,sensirion/embedded-sps
SEN68,Sensirion,Multi (With CO2),Premium,4,3,,3,2,2,,,,,Very Good (1.5),****,****,****,"PM, VOC, NOx, CO2, Temperature, Humidity",All-in-one with CO2: PM1/2.5/4/10 + VOC + NOx + CO2 (SCD4x-based PAS) + T/H. Premium T/H accuracy. Best single-module solution.,$80 - $100,Laser Scattering + MOx + PAS + Capacitive,I²C,"PM: ±10%, CO2: ±40ppm+5%, VOC/NOx: Index, T: ±0.2°C, H: ±1.5%RH",Long lifetime; CO2 uses PAS technology; Premium T/H,FRC recommended once on installation,Low,168h if ASC enabled,ASC 7-day cycle,sensirion/embedded-sps
BH1750,ROHM,Light,Budget,,,,,,,2,,,,Good (2),****,***,***,Light (budget),"Common budget light sensor. 16-bit, 1-65535 lux range. Good for indoor light pollution monitoring.",$1 - $3,Photodiode,I²C,±20% accuracy,Good stability for price point,None (Factory Calibrated),Low,0h (immediate),Factory calibrated,claws/BH1750
TSL2591,ams-OSRAM,Light,Premium,,,,,,,1,,,,Very Good (2),*****,****,****,Light,"High dynamic range light sensor (188 µLux to 88,000 Lux). Separate visible + IR channels. Best for light pollution monitoring.",$6 - $12,Photodiode (Dual Channel),I²C,Very high dynamic range,Excellent stability,None (Factory Calibrated),Low,0h (immediate),Factory calibrated,adafruit/Adafruit_TSL2591_Library
INMP441,InvenSense,Noise,Standard,,,,,,,,,,2,High (4),****,***,***,Noise,"I²S MEMS microphone. Commonly available, good SNR (61dB). Requires DSP for dB calculation but easier than SPH0645.",$2 - $5,Digital MEMS Microphone,I²S,"SNR: 61dB, Sensitivity: -26dBFS",Good stability,Requires host DSP for dB SPL calculation,High (Requires DSP),N/A,N/A,
MAX9814,Maxim,Noise,Budget,,,,,,,,,,3,Medium (3),***,***,**,Noise (analog),Analog microphone amplifier with AGC. Simpler integration but analog output needs ADC. Less accurate than digital.,$3 - $8,Electret + Amplifier,Analog,AGC controlled output,Moderate stability,None but requires ADC calibration,Medium (Analog),N/A,N/A,
LTR-390UV,Lite-On,UV,Premium,,,,,,,,,1,,Very Good (2),****,****,****,UV,Dedicated UV-A/UV-B sensor with ambient light. Better stability than VEML6075. Recommended for UV monitoring.,$3 - $8,Photodiode (UV-A + UV-B + ALS),I²C,"UV: 13-bit, ALS: 20-bit",Good long-term stability; Less prone to solarization,None (Factory Calibrated),Low,0h (immediate),Factory calibrated,adafruit/Adafruit_LTR390
SHTC3,Sensirion,T/H,Enhanced,8,7,,,,,,,,,,Excellent (1),*****,*****,****,T/H (High Stability),Ultra-low power version of SHT3x series. Designed for long-term battery stability. Note: Fixed I²C address (0x70).,$1.25 - $2.50,Capacitive/CMOSens (3rd Gen),I²C,"T: ±0.2°C, H: ±2% RH",High Stability; Optimized for minimal self-heating drift,None (Factory Lifetime),Low,0h (immediate),Factory calibrated,SensirionI2cShtc3
